categoría,nombre del plato,descripción,precio,URL de imagen
Entradas,Leche de tigre de pescado,,S/.18.00,
Entradas,Leche de tigre mixto,Pescado y mariscos,S/.22.00,
Entradas,Leche de pantera,,S/.22.00,
Entradas,Causa pulpa de langostinos,,S/.22.00,
Entradas,Causa acevichada,,S/.25.00,
Ceviches,Ceviche carretillero,,S/.28.00,
Ceviches,Ceviche de pescado del día,,S/.27.00,
Ceviches,Ceviche mixto,,S/.34.00,
Ceviches,Ceviche afrodisíaco,,S/.35.00,
Ceviches,Ceviche de conchas negras,,S/.35.00,
Tiraditos,Tiradito en salsa de ají amarillo,,S/.28.00,
Tiraditos,Tiradito en dos tiempos,,S/.32.00,
Combinado Norteño,Combinado norteño,"Ceviche de pescado del día + arroz con mariscos o chaufa de mariscos o jalea mixta",S/.35.00,
Sudados y Parihuelas,Sudado de filete,,S/.30.00,
Sudados y Parihuelas,Sudado de cabrilla,,S/.32.00,
Sudados y Parihuelas,Parihuela mixta especial,,S/.35.00,
Sudados y Parihuelas,Parihuela de cabrilla,,S/.32.00,
Sudados y Parihuelas,Parihuela de filete,,S/.30.00,
Sudados y Parihuelas,Chilcano especial,,S/.20.00,
Chupes,Chupe de pescado,,S/.30.00,
Chupes,Chupe de cangrejo,,S/.30.00,
Chupes,Chupe de langostino,,S/.30.00,
Trilogías Marinas,Trilogía N° 1,Ceviche de pescado + arroz con mariscos + chicharrón mixto,S/.38.00,
Trilogías Marinas,Trilogía N° 2,Ceviche de pescado + causa de langostinos + chicharrón mixto,S/.38.00,
Trilogías Marinas,Trilogía N° 3,Causa de langostinos + chicharrón de pescado + arroz con mariscos,S/.43.00,
Trilogías Marinas,Trilogía N° 4,Ceviche de pescado + chicharrón de calamar + arroz con mariscos,S/.45.00,
Trilogías Marinas,Trilogía N° 5,Causa de langostinos + ceviche de pescado + arroz con mariscos,S/.40.00,
Trilogías Marinas,Trilogía N° 6,Causa de langostinos + chaufa de mariscos + chicharrón de pescado,S/.43.00,
Trilogías Marinas,Trilogía N° 7,Ceviche de pescado + chaufa de mariscos + chicharrón mixto,S/.38.00,
Trilogías Marinas,Trilogía N° 8,Ceviche de pescado + papa a la huancaína + arroz con pato,S/.45.00,
Duos Marinos,Duo Marino 1,Ceviche de pescado del día + causa de pulpa de langostino,S/.30.00,
Duos Marinos,Duo Marino 2,Causa de pulpa de langostino + arroz con mariscos,S/.32.00,
Duos Marinos,Duo Marino 3,Causa de pulpa de langostino + chicharrón de pescado,S/.32.00,
Duos Marinos,Duo Marino 4,Ceviche de pescado + chicharrón de calamar,S/.35.00,
Duos Marinos,Duo Marino 5,Causa de pulpa de langostino + chaufa de mariscos,S/.32.00,
Duos Marinos,Duo Marino 6,Ceviche de pescado del día + arroz con mariscos,S/.30.00,
Duos Marinos,Duo Marino 7,Ceviche de pescado del día + chicharrón mixto,S/.30.00,
Duos Marinos,Duo Marino 8,Chicharrón de pescado + arroz con mariscos,S/.32.00,
Duos Marinos,Duo Marino 9,Chicharrón de pescado + chaufa de mariscos,S/.32.00,
Duos Marinos,Duo Marino 10,Ceviche de pescado del día + chaufa de mariscos,S/.30.00,
Duos Marinos,Duo Marino 11,Ceviche de pescado del día + arroz con pato,S/.35.00,
Chicharrones y Jaleas,Chicharrón de pota,,S/.30.00,
Chicharrones y Jaleas,Chicharrón de pescado,,S/.30.00,
Chicharrones y Jaleas,Jalea de pescado,,S/.32.00,
Chicharrones y Jaleas,Chicharrón de calamar,,S/.40.00,
Chicharrones y Jaleas,Chicharrón de pescado con calamar,,S/.40.00,
Chicharrones y Jaleas,Chicharrón mixto,,S/.34.00,
Chicharrones y Jaleas,Jalea mixta,,S/.34.00,
Chicharrones y Jaleas,Jaleón norteño,"Cabrilla frita, mariscos fritos, yuca frita, leche de tigre",S/.45.00,
Arroces,Arroz con conchas negras,,S/.35.00,
Arroces,Arroz con mariscos,,S/.32.00,
Arroces,Chaufa de mariscos,,S/.32.00,
Arroces,Chaufa de pescado,,S/.28.00,
Arroces,Chaufa amazónico,,S/.28.00,
Arroces,Chaufa de langostinos,,S/.30.00,
Arroces,Arroz verde en aroma de pato con filete de pescado,,S/.27.00,
Arroces,Chaufa de carne,,S/.24.00,
Arroces,Chaufa de pollo,,S/.22.00,
Ronda Marina para 4 Personas,Ronda marina para 4 personas,"Ceviche de pescado + arroz con mariscos + chaufa de mariscos + chicharrón mixto + leche de tigre o causa de pulpa de langostino",S/.73.00,
Fetuccinis,Fetuccini a la huancaína con lomo saltado,,S/.30.00,
Fetuccinis,Fetuccini a la huancaína con pollo a la parrilla,,S/.26.00,
Fetuccinis,Fetuccini a la huancaína con saltado de pollo,,S/.26.00,
Fetuccinis,Fetuccini a la huancaína con filete de pescado,,S/.27.00,
Fetuccinis,Fetuccini a la huancaína con salsa de mariscos,,S/.35.00,
Criollos y Norteños,Arroz con pato,,S/.27.00,
Criollos y Norteños,Seco de pato con frijoles,,S/.28.00,
Criollos y Norteños,Tacu-tacu con lomo saltado,,S/.33.00,
Criollos y Norteños,Tacu-tacu saltado de pollo,,S/.30.00,
Criollos y Norteños,Tacu-tacu en salsa de mariscos,,S/.35.00,
Criollos y Norteños,Lomo saltado,,S/.25.00,
Criollos y Norteños,Saltado de pollo,,S/.23.00,
Criollos y Norteños,Tallarín saltado de carne,,S/.25.00,
Criollos y Norteños,Tallarín saltado de pollo,,S/.23.00,
Pescado Frito y Filete,Cabrilla frita con yucas, arroz y ensalada,,S/.32.00,
Pescado Frito y Filete,Filete de pescado frito con yucas, arroz y ensalada,,S/.27.00,
